,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
91,92,Vilde Hasund,no NOR,FW,Røa,19.0,1997.0,18,16,1370,15.2,5,,5,0,0,0,0,0.33,,,0.33,,Matches
92,93,Sophie Haug,no NOR,MF,LSK Kvinner,17.0,1999.0,20,15,1429,15.9,15,,15,0,0,2,0,0.94,,,0.94,,Matches
93,94,Maren Hauge,no NOR,FW,Vålerenga,22.0,1994.0,20,17,1454,16.2,7,,7,0,0,2,0,0.43,,,0.43,,Matches
94,95,Hedda Haugene,no NOR,MF,Røa,,,7,0,38,0.4,0,,0,0,0,0,0,0.0,,,0.0,,Matches
95,96,Margunn Haugenes,no NOR,MF,Medkila,47.0,1970.0,1,1,62,0.7,0,,0,0,0,0,0,0.0,,,0.0,,Matches
96,97,My Haugland Sørsdahl,no NOR,DF,Kolbotn,16.0,2000.0,11,10,816,9.1,0,,0,0,0,0,0,0.0,,,0.0,,Matches
97,98,Andrea Haugstøyl,no NOR,MF,Trondheims-Ørn,26.0,1991.0,13,10,915,10.2,3,,3,0,0,0,0,0.3,,,0.3,,Matches
98,99,Karoline Heimvik Haugland,no NOR,MF,Arna-Bjørnar,18.0,1998.0,18,9,873,9.7,2,,2,0,0,4,0,0.21,,,0.21,,Matches
99,100,Sigrid Helbostad,no NOR,FW,Grand Bodø,16.0,2000.0,15,15,1250,13.9,0,,0,0,0,2,0,0.0,,,0.0,,Matches
100,101,Line Hem,no NOR,MF,Røa,23.0,1994.0,6,4,348,3.9,0,,0,0,0,0,0,0.0,,,0.0,,Matches
101,102,Gunhild Herregården,no NOR,DF,Røa,,,20,20,1753,19.5,2,,2,0,0,1,1,0.1,,,0.1,,Matches
102,103,Maria Hiim,no NOR,MF,Klepp,19.0,1997.0,15,12,1156,12.8,0,,0,0,0,2,0,0.0,,,0.0,,Matches
103,104,Laila Himle,no NOR,DF,Sandviken,25.0,1991.0,20,19,1661,18.5,0,,0,0,0,1,0,0.0,,,0.0,,Matches
104,105,Marte Hjelmhaug,no NOR,DF,Sandviken,17.0,1999.0,15,8,785,8.7,1,,1,0,0,0,0,0.11,,,0.11,,Matches
105,106,Ingrid Hjelmseth,no NOR,GK,Stabæk,36.0,1980.0,22,22,1980,22.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
106,107,Marita Holmen Iversen,no NOR,MF,Røa,25.0,1991.0,17,16,1403,15.6,0,,0,0,0,5,0,0.0,,,0.0,,Matches
107,108,Line Holter,no NOR,MF,Røa,27.0,1989.0,20,20,1785,19.8,3,,3,0,0,5,0,0.15,,,0.15,,Matches
108,109,Rebecka Holum,no NOR,MF,Røa,20.0,1996.0,8,5,492,5.5,3,,3,0,0,1,0,0.55,,,0.55,,Matches
109,110,Caroline Hovland,no NOR,MF,Kolbotn,,,3,0,27,0.3,0,,0,0,0,0,0,0.0,,,0.0,,Matches
110,111,Stine Hovland,no NOR,DF,Sandviken,26.0,1991.0,22,22,1980,22.0,1,,1,0,0,1,0,0.05,,,0.05,,Matches
