,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
108,15.0,Sat,2018-08-18,16:00,LSK Kvinner,2–0,Arna-Bjørnar,201.0,LSK-hallen,Emilie Dokset,Match Report,
109,15.0,Sun,2018-08-19,14:00,Avaldsnes,3–3,Grand Bodø,131.0,Avaldsnes Idrettssenter,Cosmin Dima,Match Report,
110,,,,,,,,,,,,
111,16.0,Sat,2018-08-25,14:00,Arna-Bjørnar,2–1,Lyn,216.0,Arna Idrettspark,Malin Frantzen Øiseth,Match Report,
112,16.0,Sat,2018-08-25,15:00,Røa,2–0,Stabæk,265.0,Røabanen,,Match Report,
113,16.0,Sat,2018-08-25,15:00,Trondheims-Ørn,1–1,Avaldsnes,193.0,Utleira Kunstgress,Pål Jakobsen,Match Report,
114,16.0,Sun,2018-08-26,13:00,LSK Kvinner,5–1,Kolbotn,232.0,LSK-hallen,Henrikke Holm Nervik,Match Report,
115,16.0,Sun,2018-08-26,15:00,Grand Bodø,1–2,Vålerenga,160.0,Nordlandshallen,Martin Berg,Match Report,
116,16.0,Sun,2018-08-26,17:00,Klepp,1–1,Sandviken,378.0,Klepp Stadion,Sarah Fatemeh Zangeneh,Match Report,
117,,,,,,,,,,,,
118,17.0,Sat,2018-09-08,13:00,Avaldsnes,1–4,LSK Kvinner,134.0,Avaldsnes Idrettssenter,Ingvild Aarland,Match Report,
119,17.0,Sat,2018-09-08,15:00,Stabæk,2–0,Trondheims-Ørn,169.0,Nadderud Stadion,Sarah Fatemeh Zangeneh,Match Report,
120,17.0,Sat,2018-09-08,15:00,Kolbotn,1–4,Arna-Bjørnar,173.0,Stemmemyren kunstgressbane,,Match Report,
121,17.0,Sat,2018-09-08,17:00,Lyn,3–4,Røa,185.0,Kringsjå Kunstgress,Marte Sørø,Match Report,
122,17.0,Sun,2018-09-09,13:00,Sandviken,4–1,Grand Bodø,227.0,Stemmemyren kunstgressbane,Karoline Marie Jensen,Match Report,
123,17.0,Sun,2018-09-09,15:00,Vålerenga,1–1,Klepp,279.0,Vålerenga kultur- og idrettspark kunstgr...,Emilie Dokset,Match Report,
124,,,,,,,,,,,,
125,18.0,Sat,2018-09-15,15:00,Arna-Bjørnar,6–2,Stabæk,285.0,Arna Idrettspark,Ingvild Aarland,Match Report,
126,18.0,Sat,2018-09-15,15:00,Røa,2–1,Vålerenga,387.0,Røabanen,Henrikke Holm Nervik,Match Report,
127,18.0,Sun,2018-09-16,14:00,Avaldsnes,0–0,Kolbotn,78.0,Avaldsnes Idrettssenter,Mischa Kellerhals,Match Report,
128,18.0,Sun,2018-09-16,15:00,Grand Bodø,3–5,Klepp,348.0,Nordlandshallen,Malin Frantzen Øiseth,Match Report,
129,18.0,Sun,2018-09-16,16:00,Trondheims-Ørn,3–3,Sandviken,173.0,Utleira Kunstgress,Marte Sørø,Match Report,
130,18.0,Sun,2018-09-16,18:00,LSK Kvinner,2–1,Lyn,246.0,LSK-hallen,Emilie Dokset,Match Report,
131,,,,,,,,,,,,
132,19.0,Fri,2018-09-21,19:00,Stabæk,0–2,LSK Kvinner,156.0,Nadderud Stadion,Marte Sørø,Match Report,
133,19.0,Sat,2018-09-22,15:00,Sandviken,1–1,Arna-Bjørnar,1122.0,Stemmemyren kunstgressbane,Malin Frantzen Øiseth,Match Report,
134,19.0,Sat,2018-09-22,15:00,Lyn,0–1,Kolbotn,179.0,Kringsjå Kunstgress,Sarah Fatemeh Zangeneh,Match Report,
135,19.0,Sun,2018-09-23,16:00,Grand Bodø,1–3,Røa,154.0,Nordlandshallen,Ingvild Aarland,Match Report,
136,19.0,Wed,2018-09-26,16:45,Klepp,1–0,Trondheims-Ørn,152.0,Klepp Stadion,Karoline Marie Jensen,Match Report,
137,19.0,Sat,2018-10-13,14:00,Vålerenga,2–1,Avaldsnes,242.0,Vålerenga kultur- og idrettspark kunstgr...,Sarah Fatemeh Zangeneh,Match Report,
138,,,,,,,,,,,,
139,20.0,Sat,2018-10-20,15:00,Avaldsnes,0–0,Sandviken,101.0,Avaldsnes Idrettssenter,Malin Frantzen Øiseth,Match Report,
140,20.0,Sat,2018-10-20,15:00,Trondheims-Ørn,1–3,Vålerenga,621.0,Ørn Arena,Veronika Fjeldvær,Match Report,
141,20.0,Sat,2018-10-20,15:00,Lyn,2–3,Stabæk,346.0,Kringsjå Kunstgress,Karoline Marie Jensen,Match Report,
142,20.0,Sat,2018-10-20,15:00,Arna-Bjørnar,2–0,Røa,304.0,Arna Idrettspark,Sarah Fatemeh Zangeneh,Match Report,
143,20.0,Sun,2018-10-21,15:00,LSK Kvinner,2–3,Klepp,242.0,LSK-hallen,Ingvild Aarland,Match Report,
144,20.0,Sun,2018-10-21,17:00,Kolbotn,3–2,Grand Bodø,102.0,Sofiemyr stadion,Ole-Alexander Ekeli Valen,Match Report,
145,,,,,,,,,,,,
146,21.0,Sat,2018-10-27,13:00,Klepp,2–1,Avaldsnes,423.0,Klepp Stadion,Marte Sørø,Match Report,
147,21.0,Sat,2018-10-27,13:00,Stabæk,1–2,Kolbotn,205.0,Nadderud Stadion,Malin Frantzen Øiseth,Match Report,
148,21.0,Sat,2018-10-27,13:00,Røa,2–1,Trondheims-Ørn,231.0,Røabanen,Emilie Dokset,Match Report,
149,21.0,Sat,2018-10-27,13:00,Grand Bodø,1–0,Lyn,162.0,Nordlandshallen,Sarah Fatemeh Zangeneh,Match Report,
150,21.0,Sat,2018-10-27,13:00,Vålerenga,1–1,Arna-Bjørnar,289.0,Vålerenga kultur- og idrettspark kunstgr...,Ingvild Aarland,Match Report,
151,21.0,Sat,2018-10-27,13:00,Sandviken,0–0,LSK Kvinner,552.0,Stemmemyren kunstgressbane,Henrikke Holm Nervik,Match Report,
152,,,,,,,,,,,,
153,22.0,Sun,2018-11-04,13:00,Trondheims-Ørn,0–0,Grand Bodø,235.0,Ørn Arena,Marte Sørø,Match Report,
154,22.0,Sun,2018-11-04,13:00,Kolbotn,3–1,Vålerenga,241.0,Sofiemyr stadion,Henrikke Holm Nervik,Match Report,
155,22.0,Sun,2018-11-04,13:00,LSK Kvinner,6–2,Røa,813.0,LSK-hallen,Sarah Fatemeh Zangeneh,Match Report,
156,22.0,Sun,2018-11-04,13:00,Lyn,2–4,Sandviken,125.0,Kringsjå Kunstgress,Ingvild Aarland,Match Report,
157,22.0,Sun,2018-11-04,13:00,Avaldsnes,2–0,Stabæk,129.0,Avaldsnes Idrettssenter,Veronika Fjeldvær,Match Report,
158,22.0,Sun,2018-11-04,13:00,Arna-Bjørnar,0–0,Klepp,284.0,Arna Idrettspark,Emilie Dokset,Match Report,
